Name,Type,Bedrooms,Levels,Comment,Zone,Item1,Item2,Unit,Value
,,,,,Cellar+,x,Coord,m,-1.3
,,,,,Cellar+,y,Coord,m,13.5
,,,,,Cellar+,z,Coord,m,-0.3
,,,,,Cellar+,L1,Length,m,1.3
,,,,,Cellar+,L2,Length,m,7.1
,,,,,Cellar+,h,Height,m,0.3
,,,,,Cellar+,L1,Party,Flag,1
,,,,,Cellar+,L4,Party,Flag,1
,,,,,Cellar+,J,Join,Zone,Cellar
,,,,,Shaft,x,Coord,m,-1.3
,,,,,Shaft,y,Coord,m,13.5
,,,,,Shaft,z,Coord,m,0
,,,,,Shaft,L1,Length,m,3.1
,,,,,Shaft,L2,Length,m,6.9
,,,,,Shaft,h,Height,m,28.8
,,,,,Shaft,L1,Party,Flag,1
,,,,,Shaft,L3,Party,Flag,1
,,,,,Shaft,L4,Party,Flag,1
,,,,,Shaft+,x,Coord,m,1.8
,,,,,Shaft+,y,Coord,m,13.5
,,,,,Shaft+,z,Coord,m,0
,,,,,Shaft+,L1,Length,m,5.2
,,,,,Shaft+,L2,Length,m,2.5
,,,,,Shaft+,h,Height,m,28.8
,,,,,Shaft+,L1,Party,Flag,1
,,,,,Shaft+,J,Join,Zone,Shaft
,,,,,Shaft,L3,Glazing,fraction,0.24
,,,,,,,,,
ConvertedFlat,Flat,3,2,AWESOME,Bedroom1_GF,x,Coord,m,0
,,,,,Bedroom1_GF,y,Coord,m,4
,,,,,Bedroom1_GF,z,Coord,m,0
,,,,,Bedroom1_GF,L1,Length,m,3.8
,,,,,Bedroom1_GF,L2,Length,m,4
,,,,,Bedroom1_GF,h,Height,m,2.6
,,,,,Bedroom1_GF,L1,Door,Zone,Hall_GF
,,,,,Bedroom1_GF,L3,Glazing,fraction,0.58
,,,,,Bedroom1_GF,L4,Party,Flag,1
,,,,,Comm_GF,x,Coord,m,3.8
,,,,,Comm_GF,y,Coord,m,9.6
,,,,,Comm_GF,z,Coord,m,0
,,,,,Comm_GF,L1,Length,m,1.1
,,,,,Comm_GF,L2,Length,m,9
,,,,,Comm_GF,h,Height,m,2.6
,,,,,Comm_GF,L4,Door,Zone,Hall_GF
,,,,,Comm_GF,L2,Party,Flag,1
,,,,,Hall_GF,x,Coord,m,2.8
,,,,,Hall_GF,y,Coord,m,9.6
,,,,,Hall_GF,z,Coord,m,0
,,,,,Hall_GF,L1,Length,m,1
,,,,,Hall_GF,L2,Length,m,5.6
,,,,,Hall_GF,h,Height,m,2.6
,,,,,Bath1_GF,x,Coord,m,0
,,,,,Bath1_GF,y,Coord,m,5.8
,,,,,Bath1_GF,z,Coord,m,0
,,,,,Bath1_GF,L1,Length,m,2.8
,,,,,Bath1_GF,L2,Length,m,1.6
,,,,,Bath1_GF,h,Height,m,2.6
,,,,,Bath1_GF,L2,Door,Zone,Hall_GF
,,,,,Bath1_GF,L4,Party,Flag,1
,,,,,Bath1_GF+,x,Coord,m,0
,,,,,Bath1_GF+,y,Coord,m,4.2
,,,,,Bath1_GF+,z,Coord,m,0
,,,,,Bath1_GF+,L1,Length,m,2.8
,,,,,Bath1_GF+,L2,Length,m,0.2
,,,,,Bath1_GF+,h,Height,m,2.6
,,,,,Bath1_GF+,J,Join,Zone,Bath1_GF
,,,,,Bedroom2_GF,x,Coord,m,0
,,,,,Bedroom2_GF,y,Coord,m,9.6
,,,,,Bedroom2_GF,z,Coord,m,0
,,,,,Bedroom2_GF,L1,Length,m,2.8
,,,,,Bedroom2_GF,L2,Length,m,3.8
,,,,,Bedroom2_GF,h,Height,m,2.6
,,,,,Bedroom2_GF,L2,Door,Zone,Hall_GF
,,,,,Bedroom2_GF,L1,Glazing,fraction,0.7
,,,,,Bedroom2_GF,L4,Party,Flag,1
,,,,,Living_GF,x,Coord,m,1.2
,,,,,Living_GF,y,Coord,m,13.8
,,,,,Living_GF,z,Coord,m,0
,,,,,Living_GF,L1,Length,m,3.7
,,,,,Living_GF,L2,Length,m,4.2
,,,,,Living_GF,h,Height,m,2.6
,,,,,Living_GF,L3,Door,Zone,Hall_GF
,,,,,Living_GF,L4,Glazing,fraction,0.33
,,,,,Living_GF,L2,Party,Flag,1
,,,,,Kitchen_GF,x,Coord,m,1.2
,,,,,Kitchen_GF,y,Coord,m,16.6
,,,,,Kitchen_GF,z,Coord,m,0
,,,,,Kitchen_GF,L1,Length,m,3.7
,,,,,Kitchen_GF,L2,Length,m,2.8
,,,,,Kitchen_GF,h,Height,m,2.6
,,,,,Kitchen_GF,L1,Glazing,fraction,0.33
,,,,,Kitchen_GF,L3,Door,Zone,Living_GF
,,,,,Kitchen_GF,L2,Party,Flag,1
,,,,,Bedroom1_MF,x,Coord,m,0
,,,,,Bedroom1_MF,y,Coord,m,4
,,,,,Bedroom1_MF,z,Coord,m,2.6
,,,,,Bedroom1_MF,L1,Length,m,3.8
,,,,,Bedroom1_MF,L2,Length,m,4
,,,,,Bedroom1_MF,h,Height,m,2.6
,,,,,Bedroom1_MF,L1,Door,Zone,Hall_MF
,,,,,Bedroom1_MF,L3,Glazing,fraction,0.58
,,,,,Bedroom1_MF,L4,Party,Flag,1
,,,,,Comm_MF,x,Coord,m,3.8
,,,,,Comm_MF,y,Coord,m,9.6
,,,,,Comm_MF,z,Coord,m,2.6
,,,,,Comm_MF,L1,Length,m,1.1
,,,,,Comm_MF,L2,Length,m,9
,,,,,Comm_MF,h,Height,m,2.6
,,,,,Comm_MF,L4,Door,Zone,Hall_MF
,,,,,Comm_MF,L2,Party,Flag,1
,,,,,Hall_MF,x,Coord,m,2.8
,,,,,Hall_MF,y,Coord,m,9.6
,,,,,Hall_MF,z,Coord,m,2.6
,,,,,Hall_MF,L1,Length,m,1
,,,,,Hall_MF,L2,Length,m,5.6
,,,,,Hall_MF,h,Height,m,2.6
,,,,,Bath1_MF,x,Coord,m,0
,,,,,Bath1_MF,y,Coord,m,5.8
,,,,,Bath1_MF,z,Coord,m,2.6
,,,,,Bath1_MF,L1,Length,m,2.8
,,,,,Bath1_MF,L2,Length,m,1.6
,,,,,Bath1_MF,h,Height,m,2.6
,,,,,Bath1_MF,L2,Door,Zone,Hall_MF
,,,,,Bath1_MF,L4,Party,Flag,1
,,,,,Bath1_MF+,x,Coord,m,0
,,,,,Bath1_MF+,y,Coord,m,4.2
,,,,,Bath1_MF+,z,Coord,m,2.6
,,,,,Bath1_MF+,L1,Length,m,2.8
,,,,,Bath1_MF+,L2,Length,m,0.2
,,,,,Bath1_MF+,h,Height,m,2.6
,,,,,Bath1_MF+,J,Join,Zone,Bath1_MF
,,,,,Bedroom2_MF,x,Coord,m,0
,,,,,Bedroom2_MF,y,Coord,m,9.6
,,,,,Bedroom2_MF,z,Coord,m,2.6
,,,,,Bedroom2_MF,L1,Length,m,2.8
,,,,,Bedroom2_MF,L2,Length,m,3.8
,,,,,Bedroom2_MF,h,Height,m,2.6
,,,,,Bedroom2_MF,L2,Door,Zone,Hall_MF
,,,,,Bedroom2_MF,L1,Glazing,fraction,0.7
,,,,,Bedroom2_MF,L4,Party,Flag,1
,,,,,Living_MF,x,Coord,m,1.2
,,,,,Living_MF,y,Coord,m,13.8
,,,,,Living_MF,z,Coord,m,2.6
,,,,,Living_MF,L1,Length,m,3.7
,,,,,Living_MF,L2,Length,m,4.2
,,,,,Living_MF,h,Height,m,2.6
,,,,,Living_MF,L3,Door,Zone,Hall_MF
,,,,,Living_MF,L4,Glazing,fraction,0.33
,,,,,Living_MF,L2,Party,Flag,1
,,,,,Kitchen_MF,x,Coord,m,1.2
,,,,,Kitchen_MF,y,Coord,m,16.6
,,,,,Kitchen_MF,z,Coord,m,2.6
,,,,,Kitchen_MF,L1,Length,m,3.7
,,,,,Kitchen_MF,L2,Length,m,2.8
,,,,,Kitchen_MF,h,Height,m,2.6
,,,,,Kitchen_MF,L1,Glazing,fraction,0.29
,,,,,Kitchen_MF,L4,Glazing,fraction,0.2
,,,,,Kitchen_MF,L3,Door,Zone,Living_MF
,,,,,Kitchen_MF,L2,Party,Flag,1
,,,,,Bedroom1_TF,x,Coord,m,0
,,,,,Bedroom1_TF,y,Coord,m,4
,,,,,Bedroom1_TF,z,Coord,m,5.2
,,,,,Bedroom1_TF,L1,Length,m,3.8
,,,,,Bedroom1_TF,L2,Length,m,4
,,,,,Bedroom1_TF,h,Height,m,2.6
,,,,,Bedroom1_TF,L1,Door,Zone,Hall_TF
,,,,,Bedroom1_TF,L3,Glazing,fraction,0.58
,,,,,Bedroom1_TF,L4,Party,Flag,1
,,,,,Comm_TF,x,Coord,m,3.8
,,,,,Comm_TF,y,Coord,m,9.6
,,,,,Comm_TF,z,Coord,m,5.2
,,,,,Comm_TF,L1,Length,m,1.1
,,,,,Comm_TF,L2,Length,m,9
,,,,,Comm_TF,h,Height,m,2.6
,,,,,Comm_TF,L4,Door,Zone,Hall_TF
,,,,,Comm_TF,L2,Party,Flag,1
,,,,,Hall_TF,x,Coord,m,2.8
,,,,,Hall_TF,y,Coord,m,9.6
,,,,,Hall_TF,z,Coord,m,5.2
,,,,,Hall_TF,L1,Length,m,1
,,,,,Hall_TF,L2,Length,m,5.6
,,,,,Hall_TF,h,Height,m,2.6
,,,,,Bath1_TF,x,Coord,m,0
,,,,,Bath1_TF,y,Coord,m,5.8
,,,,,Bath1_TF,z,Coord,m,5.2
,,,,,Bath1_TF,L1,Length,m,2.8
,,,,,Bath1_TF,L2,Length,m,1.6
,,,,,Bath1_TF,h,Height,m,2.6
,,,,,Bath1_TF,L2,Door,Zone,Hall_TF
,,,,,Bath1_TF,L4,Party,Flag,1
,,,,,Bath1_TF+,x,Coord,m,0
,,,,,Bath1_TF+,y,Coord,m,4.2
,,,,,Bath1_TF+,z,Coord,m,5.2
,,,,,Bath1_TF+,L1,Length,m,2.8
,,,,,Bath1_TF+,L2,Length,m,0.2
,,,,,Bath1_TF+,h,Height,m,2.6
,,,,,Bath1_TF+,J,Join,Zone,Bath1_TF
,,,,,Bedroom2_TF,x,Coord,m,0
,,,,,Bedroom2_TF,y,Coord,m,9.6
,,,,,Bedroom2_TF,z,Coord,m,5.2
,,,,,Bedroom2_TF,L1,Length,m,2.8
,,,,,Bedroom2_TF,L2,Length,m,3.8
,,,,,Bedroom2_TF,h,Height,m,2.6
,,,,,Bedroom2_TF,L2,Door,Zone,Hall_TF
,,,,,Bedroom2_TF,L1,Glazing,fraction,0.7
,,,,,Bedroom2_TF,L4,Party,Flag,1
,,,,,Living_TF,x,Coord,m,1.2
,,,,,Living_TF,y,Coord,m,13.8
,,,,,Living_TF,z,Coord,m,5.2
,,,,,Living_TF,L1,Length,m,3.7
,,,,,Living_TF,L2,Length,m,4.2
,,,,,Living_TF,h,Height,m,2.6
,,,,,Living_TF,L3,Door,Zone,Hall_TF
,,,,,Living_TF,L4,Glazing,fraction,0.33
,,,,,Living_TF,L2,Party,Flag,1
,,,,,Kitchen_TF,x,Coord,m,1.2
,,,,,Kitchen_TF,y,Coord,m,16.6
,,,,,Kitchen_TF,z,Coord,m,5.2
,,,,,Kitchen_TF,L1,Length,m,3.7
,,,,,Kitchen_TF,L2,Length,m,2.8
,,,,,Kitchen_TF,h,Height,m,2.6
,,,,,Kitchen_TF,L1,Glazing,fraction,0.29
,,,,,Kitchen_TF,L3,Door,Zone,Living_TF
,,,,,Kitchen_TF,L2,Party,Flag,1
,,,,,Kitchen_TF,L4,Glazing,fraction,0.2
,,,,,Attic,x,Coord,m,0
,,,,,Attic,y,Coord,m,9.6
,,,,,Attic,z,Coord,m,7.8
,,,,,Attic,L1,Length,m,4.9
,,,,,Attic,L2,Length,m,9.6
,,,,,Attic,h,Height,m,2.6
,,,,,Attic,L1,Pitch,fraction,0
,,,,,Attic+,x,Coord,m,1.2
,,,,,Attic+,y,Coord,m,16.6
,,,,,Attic+,z,Coord,m,7.8
,,,,,Attic+,L1,Length,m,3.7
,,,,,Attic+,L2,Length,m,7
,,,,,Attic+,h,Height,m,2.6
,,,,,Attic+,J,Join,length,4.3
,,,,,Attic+,L2,Pitch,fraction,0
,,,,,Cellar,x,Coord,m,0
,,,,,Cellar,y,Coord,m,9.6
,,,,,Cellar,z,Coord,m,-0.3
,,,,,Cellar,L1,Length,m,4.9
,,,,,Cellar,L2,Length,m,9.6
,,,,,Cellar,h,Height,m,0.3
,,,,,Cellar+,x,Coord,m,1.2
,,,,,Cellar+,y,Coord,m,16.6
,,,,,Cellar+,z,Coord,m,-0.3
,,,,,Cellar+,L1,Length,m,3.7
,,,,,Cellar+,L2,Length,m,7
,,,,,Cellar+,h,Height,m,0.3
,,,,,Cellar+,J,Join,Zone,Cellar
,,,,,Cellar,L2,Party,Flag,1
,,,,,,,,,
Lowrise-Pre1990,Flat,1,1,,Bedroom1_GF,x,Coord,m,0
,,,,,Bedroom1_GF,y,Coord,m,7
,,,,,Bedroom1_GF,z,Coord,m,0
,,,,,Bedroom1_GF,L1,Length,m,3.6
,,,,,Bedroom1_GF,L2,Length,m,3.4
,,,,,Bedroom1_GF,h,Height,m,2.6
,,,,,Bedroom1_GF,L4,Party,Flag,1
,,,,,Bedroom1_GF,L1,Glazing,fraction,0.246
,,,,,Bedroom1_GF+,x,Coord,m,2.5
,,,,,Bedroom1_GF+,y,Coord,m,3.6
,,,,,Bedroom1_GF+,z,Coord,m,0
,,,,,Bedroom1_GF+,L1,Length,m,1.1
,,,,,Bedroom1_GF+,L2,Length,m,1
,,,,,Bedroom1_GF+,h,Height,m,2.6
,,,,,Bedroom1_GF+,J,Join,Zone,Bedroom1_GF
,,,,,Bedroom1_GF,L3,Door,Zone,Hall_GF
,,,,,Storage_GF,x,Coord,m,0
,,,,,Storage_GF,y,Coord,m,3.6
,,,,,Storage_GF,z,Coord,m,0
,,,,,Storage_GF,L1,Length,m,2.5
,,,,,Storage_GF,L2,Length,m,1
,,,,,Storage_GF,h,Height,m,2.6
,,,,,Storage_GF,L4,Party,Flag,1
,,,,,Living_GF,x,Coord,m,3.6
,,,,,Living_GF,y,Coord,m,7
,,,,,Living_GF,z,Coord,m,0
,,,,,Living_GF,L1,Length,m,3.8
,,,,,Living_GF,L2,Length,m,4.4
,,,,,Living_GF,h,Height,m,2.6
,,,,,Living_GF,L1,Glazing,fraction,0.32
,,,,,Living_GF,L3,Door,Zone,Hall_GF
,,,,,Kitchen_GF,x,Coord,m,4.4
,,,,,Kitchen_GF,y,Coord,m,2.6
,,,,,Kitchen_GF,z,Coord,m,0
,,,,,Kitchen_GF,L1,Length,m,3
,,,,,Kitchen_GF,L2,Length,m,2.6
,,,,,Kitchen_GF,h,Height,m,2.6
,,,,,Kitchen_GF,L3,Glazing,fraction,0.2
,,,,,Kitchen_GF,L4,Door,Zone,Hall_GF
,,,,,Kitchen_GF,L3,Hang,m,1.25
,,,,,Hall_GF,x,Coord,m,2.5
,,,,,Hall_GF,y,Coord,m,2.6
,,,,,Hall_GF,z,Coord,m,0
,,,,,Hall_GF,L1,Length,m,1.9
,,,,,Hall_GF,L2,Length,m,2.6
,,,,,Hall_GF,h,Height,m,2.6
,,,,,Hall_GF,L3,Glazing,fraction,0.246
,,,,,Hall_GF,L3,Hang,m,1.25
,,,,,Bath1_GF,x,Coord,m,0
,,,,,Bath1_GF,y,Coord,m,2.6
,,,,,Bath1_GF,z,Coord,m,0
,,,,,Bath1_GF,L1,Length,m,2.5
,,,,,Bath1_GF,L2,Length,m,2.6
,,,,,Bath1_GF,h,Height,m,2.6
,,,,,Bath1_GF,L4,Party,Flag,1
,,,,,Bath1_GF,L3,Glazing,fraction,0.246
,,,,,Bath1_GF,L2,Door,Zone,Hall_GF
,,,,,Bath1_GF,L3,Hang,m,1.25
,,,,,Bedroom1_MF,x,Coord,m,0
,,,,,Bedroom1_MF,y,Coord,m,7
,,,,,Bedroom1_MF,z,Coord,m,2.6
,,,,,Bedroom1_MF,L1,Length,m,3.6
,,,,,Bedroom1_MF,L2,Length,m,3.4
,,,,,Bedroom1_MF,h,Height,m,2.6
,,,,,Bedroom1_MF,L4,Party,Flag,1
,,,,,Bedroom1_MF,L1,Glazing,fraction,0.25
,,,,,Bedroom1_MF+,x,Coord,m,2.5
,,,,,Bedroom1_MF+,y,Coord,m,3.6
,,,,,Bedroom1_MF+,z,Coord,m,2.6
,,,,,Bedroom1_MF+,L1,Length,m,1.1
,,,,,Bedroom1_MF+,L2,Length,m,1
,,,,,Bedroom1_MF+,h,Height,m,2.6
,,,,,Bedroom1_MF+,J,Join,Zone,Bedroom1_MF
,,,,,Bedroom1_MF,L3,Door,Zone,Hall_MF
,,,,,Storage_MF,x,Coord,m,0
,,,,,Storage_MF,y,Coord,m,3.6
,,,,,Storage_MF,z,Coord,m,2.6
,,,,,Storage_MF,L1,Length,m,2.5
,,,,,Storage_MF,L2,Length,m,1
,,,,,Storage_MF,h,Height,m,2.6
,,,,,Storage_MF,L4,Party,Flag,1
,,,,,Living_MF,x,Coord,m,3.6
,,,,,Living_MF,y,Coord,m,7
,,,,,Living_MF,z,Coord,m,2.6
,,,,,Living_MF,L1,Length,m,3.8
,,,,,Living_MF,L2,Length,m,4.4
,,,,,Living_MF,h,Height,m,2.6
,,,,,Living_MF,L1,Glazing,fraction,0.32
,,,,,Living_MF,L3,Door,Zone,Hall_MF
,,,,,Kitchen_MF,x,Coord,m,4.4
,,,,,Kitchen_MF,y,Coord,m,2.6
,,,,,Kitchen_MF,z,Coord,m,2.6
,,,,,Kitchen_MF,L1,Length,m,3
,,,,,Kitchen_MF,L2,Length,m,2.6
,,,,,Kitchen_MF,h,Height,m,2.6
,,,,,Kitchen_MF,L3,Glazing,fraction,0.2
,,,,,Kitchen_MF,L4,Door,Zone,Hall_MF
,,,,,Kitchen_MF,L3,Hang,m,1.25
,,,,,Hall_MF,x,Coord,m,2.5
,,,,,Hall_MF,y,Coord,m,2.6
,,,,,Hall_MF,z,Coord,m,2.6
,,,,,Hall_MF,L1,Length,m,1.9
,,,,,Hall_MF,L2,Length,m,2.6
,,,,,Hall_MF,h,Height,m,2.6
,,,,,Hall_MF,L3,Glazing,fraction,0.246
,,,,,Hall_MF,L3,Hang,m,1.25
,,,,,Bath1_MF,x,Coord,m,0
,,,,,Bath1_MF,y,Coord,m,2.6
,,,,,Bath1_MF,z,Coord,m,2.6
,,,,,Bath1_MF,L1,Length,m,2.5
,,,,,Bath1_MF,L2,Length,m,2.6
,,,,,Bath1_MF,h,Height,m,2.6
,,,,,Bath1_MF,L4,Party,Flag,1
,,,,,Bath1_MF,L3,Glazing,fraction,0.24
,,,,,Bath1_MF,L2,Door,Zone,Hall_MF
,,,,,Bath1_MF,L3,Hang,m,1.25
,,,,,Bedroom1_TF,x,Coord,m,0
,,,,,Bedroom1_TF,y,Coord,m,7
,,,,,Bedroom1_TF,z,Coord,m,5.2
,,,,,Bedroom1_TF,L1,Length,m,3.6
,,,,,Bedroom1_TF,L2,Length,m,3.4
,,,,,Bedroom1_TF,h,Height,m,2.6
,,,,,Bedroom1_TF,L4,Party,Flag,1
,,,,,Bedroom1_TF,L1,Glazing,fraction,0.25
,,,,,Bedroom1_TF+,x,Coord,m,2.5
,,,,,Bedroom1_TF+,y,Coord,m,3.6
,,,,,Bedroom1_TF+,z,Coord,m,5.2
,,,,,Bedroom1_TF+,L1,Length,m,1.1
,,,,,Bedroom1_TF+,L2,Length,m,1
,,,,,Bedroom1_TF+,h,Height,m,2.6
,,,,,Bedroom1_TF+,J,Join,Zone,Bedroom1_TF
,,,,,Bedroom1_TF,L3,Door,Zone,Hall_TF
,,,,,Storage_TF,x,Coord,m,0
,,,,,Storage_TF,y,Coord,m,3.6
,,,,,Storage_TF,z,Coord,m,5.2
,,,,,Storage_TF,L1,Length,m,2.5
,,,,,Storage_TF,L2,Length,m,1
,,,,,Storage_TF,h,Height,m,2.6
,,,,,Storage_TF,L4,Party,Flag,1
,,,,,Living_TF,x,Coord,m,3.6
,,,,,Living_TF,y,Coord,m,7
,,,,,Living_TF,z,Coord,m,5.2
,,,,,Living_TF,L1,Length,m,3.8
,,,,,Living_TF,L2,Length,m,4.4
,,,,,Living_TF,h,Height,m,2.6
,,,,,Living_TF,L1,Glazing,fraction,0.32
,,,,,Living_TF,L3,Door,Zone,Hall_TF
,,,,,Kitchen_TF,x,Coord,m,4.4
,,,,,Kitchen_TF,y,Coord,m,2.6
,,,,,Kitchen_TF,z,Coord,m,5.2
,,,,,Kitchen_TF,L1,Length,m,3
,,,,,Kitchen_TF,L2,Length,m,2.6
,,,,,Kitchen_TF,h,Height,m,2.6
,,,,,Kitchen_TF,L3,Glazing,fraction,0.2
,,,,,Kitchen_TF,L4,Door,Zone,Hall_TF
,,,,,Kitchen_TF,L3,Hang,m,1.25
,,,,,Hall_TF,x,Coord,m,2.5
,,,,,Hall_TF,y,Coord,m,2.6
,,,,,Hall_TF,z,Coord,m,5.2
,,,,,Hall_TF,L1,Length,m,1.9
,,,,,Hall_TF,L2,Length,m,2.6
,,,,,Hall_TF,h,Height,m,2.6
,,,,,Hall_TF,L3,Glazing,fraction,0.246
,,,,,Hall_TF,L3,Hang,m,1.25
,,,,,Bath1_TF,x,Coord,m,0
,,,,,Bath1_TF,y,Coord,m,2.6
,,,,,Bath1_TF,z,Coord,m,5.2
,,,,,Bath1_TF,L1,Length,m,2.5
,,,,,Bath1_TF,L2,Length,m,2.6
,,,,,Bath1_TF,h,Height,m,2.6
,,,,,Bath1_TF,L4,Party,Flag,1
,,,,,Bath1_TF,L3,Glazing,fraction,0.24
